notificacao;status;prioridade
2118772;ABERTO;1
2118794;ABERTO;1
2118785;ABERTO;1
2118811;ABERTO;1
2118833;ABERTO;1
2118913;ABERTO;1
2118929;ABERTO;1
2118955;ABERTO;1
2119033;ABERTO;1
2119045;ABERTO;1
2119051;ABERTO;1
2119119;ABERTO;1
2119120;ABERTO;1
2119121;ABERTO;1
2099022;ABERTO;1
2116433;ABERTO;1
2119280;ABERTO;1
2119301;ABERTO;1
2119300;ABERTO;1
2119308;ABERTO;1
2118772;ABERTO;1
2118794;ABERTO;1
2118785;ABERTO;1
2118811;ABERTO;1
2118833;ABERTO;1
2118913;ABERTO;1
2118929;ABERTO;1
2118955;ABERTO;1
2119033;ABERTO;1
2119045;ABERTO;1
2119051;ABERTO;1
2119119;ABERTO;1
2119120;ABERTO;1
2119121;ABERTO;1
2099022;ABERTO;1
2116433;ABERTO;1
2119280;ABERTO;1
2119301;ABERTO;1
2119300;ABERTO;1
2119308;ABERTO;1
2118772;ABERTO;1
2118794;ABERTO;1
2118785;ABERTO;1
2118811;ABERTO;1
2118833;ABERTO;1
2118913;ABERTO;1
2118929;ABERTO;1
2118955;ABERTO;1
2119033;ABERTO;1
2119045;ABERTO;1
2119051;ABERTO;1
2119119;ABERTO;1
2119120;ABERTO;1
2119121;ABERTO;1
2099022;ABERTO;1
2116433;ABERTO;1
2119280;ABERTO;1
2119301;ABERTO;1
2119300;ABERTO;1
2119308;ABERTO;1
2118772;ABERTO;1
2118794;ABERTO;1
2118785;ABERTO;1
2118811;ABERTO;1
2118833;ABERTO;1
2118913;ABERTO;1
2118929;ABERTO;1
2118955;ABERTO;1
2119033;ABERTO;1
2119045;ABERTO;1
2119051;ABERTO;1
2119119;ABERTO;1
2119120;ABERTO;1
2119121;ABERTO;1
2099022;ABERTO;1
2116433;ABERTO;1
2119280;ABERTO;1
2119301;ABERTO;1
2119300;ABERTO;1
2119308;ABERTO;1
2118772;ABERTO;1
2118794;ABERTO;1
2118785;ABERTO;1
2118811;ABERTO;1
2118833;ABERTO;1
2118913;ABERTO;1
2118929;ABERTO;1
2118955;ABERTO;1
2119033;ABERTO;1
2119045;ABERTO;1
2119051;ABERTO;1
2119119;ABERTO;1
2119120;ABERTO;1
2119121;ABERTO;1
2099022;ABERTO;1
2116433;ABERTO;1
2119280;ABERTO;1
2119301;ABERTO;1
2119300;ABERTO;1
2119308;ABERTO;1
