"","Nome do Tenant","Dia","Grupo de Filas","Tipo de Mídia","Tipo de Interação","Oferecida","Distribuída","Aceita","Espera Abandonada","Espera Abandonada Padrão","Tempo Médio de Aceitação","Tempo Médio de Espera Abandonada","Tempo de Espera Abandonada Padrão","% de Aceitação de Nível de Serviço","Espera de Rápido Abandono","Aceita no Limite","Encaminhada para Outros","Removida","Convite Abandonado","Redirecionada","Tempo Médio de Atendimento"
"5","Environment","2019-07-01","SANTANDER","Voice","Inbound","43","1","1","50","42","2802","587,84","29297","0","8","0","0","0","0","0","11"
"5","Environment","2019-07-01","STD_PRIME","Voice","Inbound","43","1","1","50","42","2802","587,84","29297","0","8","0","0","0","0","0","11"
"5","Environment","2019-07-02","SANTANDER","Voice","Inbound","252","14","11","256","238","1539,818181","400,210937","102078","0,003968","18","1","0","0","0","3","252,818181"
"5","Environment","2019-07-02","STD_DESLOCADO","Voice","Inbound","2","0","0","5","2","0","26,4","107","0","3","0","0","0","0","0","0"
"5","Environment","2019-07-02","STD_PRIME","Voice","Inbound","252","14","11","256","238","1539,818181","400,210937","102078","0,003968","18","1","0","0","0","3","252,818181"
"0","","","","","","","","","","","1645","","","","","","","","","","232,666666"
"1","Environment","","","","","","","","","","1645","","","","","","","","","","232,666666"
"2","Environment","","SANTANDER","Voice","","","","","","","1645","","","","","","","","","","232,666666"
"2","Environment","","STD_DESLOCADO","Voice","","","","","","","0","","","","","","","","","","0"
"2","Environment","","STD_PRIME","Voice","","","","","","","1645","","","","","","","","","","232,666666"
"3","Environment","2019-07-01","","Voice","","","","","","","","","","0","","","","","","",""
"3","Environment","2019-07-02","","Voice","","","","","","","","","","0,003952","","","","","","",""
"4","Environment","2019-07-01","SANTANDER","Voice","","","","","","","","","","0","","","","","","",""
"4","Environment","2019-07-01","STD_PRIME","Voice","","","","","","","","","","0","","","","","","",""
"4","Environment","2019-07-02","SANTANDER","Voice","","","","","","","","","","0,003968","","","","","","",""
"4","Environment","2019-07-02","STD_DESLOCADO","Voice","","","","","","","","","","0","","","","","","",""
"4","Environment","2019-07-02","STD_PRIME","Voice","","","","","","","","","","0,003968","","","","","","",""
"Período de Início","Período de Término"
"2019-07-01","2019-07-04"
