chamado;abertos;categoria;descricao;tempo;reaberto;analista;dataAbertura
2136638;Reabertos;AGENCIA_PAB  TECNOLOGIA  SEM_COMUNICACAO_DE_DADOS;Tempo em aberto excedido;4d 23h 35min;1;jmsoarpx@br.ibm.com;
2164799;Abertos;MEU_DIA_A_DIA  TECNOLOGIA  CORREIO_ELETRONICO;Tempo em aberto excedido;4d 20h 54min;;jmsoarpx@br.ibm.com;
2159485;Reabertos;MEU_DIA_A_DIA_AG  TECNOLOGIA  MEU_TERMINAL;Tempo em aberto excedido;4d 20h 31min;1;jmsoarpx@br.ibm.com;
2099609;Reabertos;MEU_DIA_A_DIA_AG  TECNOLOGIA  MEU_TERMINAL;Tempo em aberto excedido;4d 20h 30min;1;jmsoarpx@br.ibm.com;
2155860;Reabertos;MEU_DIA_A_DIA_AG  TECNOLOGIA  MEU_TERMINAL;Tempo em aberto excedido;4d 20h 29min;1;jmsoarpx@br.ibm.com;
2164870;Abertos;MEU_DIA_A_DIA_AG  TECNOLOGIA  DEMAIS_APLICATIVOS;Tempo em aberto excedido;4d 20h 26min;;jmsoarpx@br.ibm.com;
2164883;Abertos;MEU_DIA_A_DIA_AG  TECNOLOGIA  CORREIO_ELETRONICO;Tempo em aberto excedido;4d 20h 23min;;jmsoarpx@br.ibm.com;
2164905;Abertos;MEU_DIA_A_DIA  TECNOLOGIA  SOFTWARES_APLICATIVOS_SOLIC_UP;Tempo em aberto excedido;4d 20h 16min;;jmsoarpx@br.ibm.com;
2164914;Abertos;MINHA_LOJA  TECNOLOGIA  IMPRESSORA;Tempo em aberto excedido;4d 20h 13min;;jmsoarpx@br.ibm.com;
2140486;Reabertos;MINHA_LOJA  TECNOLOGIA  IMPRESSORA;Tempo em aberto excedido;4d 20h 11min;1;jmsoarpx@br.ibm.com;
2164920;Abertos;MEU_DIA_A_DIA  TECNOLOGIA  MANUTENCAO_EQUIPAMENTOS_COMP_NOTE;Tempo em aberto excedido;4d 20h 11min;;jmsoarpx@br.ibm.com;
2164926;Abertos;MEU_DIA_A_DIA  TECNOLOGIA  SOFTWARES_APLICATIVOS_SOLIC_UP;Tempo em aberto excedido;4d 20h 10min;;jmsoarpx@br.ibm.com;
